E0,12/09/2020,Fulham,Arsenal,0,3,A,0,1,A,6.16,4.51,1.56,0-1
E0,12/09/2020,Crystal Palace,Southampton,1,0,H,1,0,H,3.32,3.29,2.4,1-0
E0,12/09/2020,Liverpool,Leeds,4,3,H,3,2,H,1.31,6.25,9.92,3-2
E0,12/09/2020,West Ham,Newcastle,0,2,A,0,0,D,2.18,3.61,3.5,0-0
E0,13/09/2020,West Brom,Leicester,0,3,A,0,0,D,4,3.59,2,0-0
E0,13/09/2020,Tottenham,Everton,0,1,A,0,0,D,1.94,3.57,4.3,0-0
E0,14/09/2020,Brighton,Chelsea,1,3,A,0,1,A,5.36,4.34,1.65,0-1
E0,14/09/2020,Sheffield United,Wolves,0,2,A,0,2,A,3.41,3.03,2.46,0-2
E0,19/09/2020,Everton,West Brom,5,2,H,2,1,H,1.55,4.33,6.46,2-1
E0,19/09/2020,Leeds,Fulham,4,3,H,2,1,H,1.65,4.05,5.61,2-1
E0,19/09/2020,Man United,Crystal Palace,1,3,A,0,1,A,1.3,5.88,9.8,0-1
E0,19/09/2020,Arsenal,West Ham,2,1,H,1,1,D,1.54,4.58,6.09,1-1
E0,20/09/2020,Southampton,Tottenham,2,5,A,1,1,D,3.12,3.39,2.41,1-1
E0,20/09/2020,Newcastle,Brighton,0,3,A,0,2,A,2.66,3.22,2.91,0-2
E0,20/09/2020,Chelsea,Liverpool,0,2,A,0,0,D,3.2,3.85,2.19,0-0
E0,20/09/2020,Leicester,Burnley,4,2,H,1,1,D,1.63,4.13,5.79,1-1
E0,21/09/2020,Aston Villa,Sheffield United,1,0,H,0,0,D,2.77,3.22,2.78,0-0
E0,21/09/2020,Wolves,Man City,1,3,A,0,2,A,6.27,4.35,1.56,0-2
E0,26/09/2020,Brighton,Man United,2,3,A,1,1,D,5.1,3.82,1.78,1-1
E0,26/09/2020,Crystal Palace,Everton,1,2,A,1,2,A,3.72,3.44,2.17,1-2
E0,26/09/2020,West Brom,Chelsea,3,3,D,3,0,H,8.55,5.33,1.39,3-0
E0,26/09/2020,Burnley,Southampton,0,1,A,0,1,A,3.41,3.31,2.36,0-1
