Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,PSH,PSD,PSA,HTCS,CS
E0,10/08/2018,Man United,Leicester,2,1,H,1,0,H,1.57,3.8,6,1-0,2-1
E0,11/08/2018,Bournemouth,Cardiff,2,0,H,1,0,H,1.91,3.5,4,1-0,2-0
E0,11/08/2018,Fulham,Crystal Palace,0,2,A,0,1,A,2.45,3.3,2.8,0-1,0-2
E0,11/08/2018,Huddersfield,Chelsea,0,3,A,0,2,A,5.8,3.9,1.57,0-2,0-3
E0,11/08/2018,Newcastle,Tottenham,1,2,A,1,2,A,3.8,3.2,2.05,1-2,1-2
E0,11/08/2018,Watford,Brighton,2,0,H,1,0,H,2.38,3,3.3,1-0,2-0
E0,11/08/2018,Wolves,Everton,2,2,D,1,1,D,2.3,3.2,3.2,1-1,2-2
E0,12/08/2018,Arsenal,Man City,0,2,A,0,1,A,3.8,3.8,1.91,0-1,0-2
E0,12/08/2018,Liverpool,West Ham,4,0,H,2,0,H,1.25,5.5,12,2-0,4-0
E0,12/08/2018,Southampton,Burnley,0,0,D,0,0,D,1.83,3.25,4.8,0-0,0-0
E0,18/08/2018,Cardiff,Newcastle,0,0,D,0,0,D,3.1,3,2.45,0-0,0-0
E0,18/08/2018,Chelsea,Arsenal,3,2,H,2,2,D,1.83,3.75,4,2-2,3-2
E0,18/08/2018,Everton,Southampton,2,1,H,2,0,H,1.91,3.4,4,2-0,2-1
E0,18/08/2018,Leicester,Wolves,2,0,H,2,0,H,2.05,3.4,3.6,2-0,2-0
E0,18/08/2018,Tottenham,Fulham,3,1,H,1,0,H,1.25,6,10,1-0,3-1
E0,18/08/2018,West Ham,Bournemouth,1,2,A,1,0,H,2.05,3.6,3.4,1-0,1-2
E0,19/08/2018,Brighton,Man United,3,2,H,3,1,H,4.8,3.6,1.75,3-1,3-2
E0,19/08/2018,Burnley,Watford,1,3,A,1,1,D,2.38,3,3.25,1-1,1-3
E0,19/08/2018,Man City,Huddersfield,6,1,H,3,1,H,1.06,12,29,3-1,6-1
E0,20/08/2018,Crystal Palace,Liverpool,0,2,A,0,1,A,6,4.75,1.44,0-1,0-2
E0,25/08/2018,Arsenal,West Ham,3,1,H,1,1,D,1.36,5,7.5,1-1,3-1
E0,25/08/2018,Bournemouth,Everton,2,2,D,0,0,D,2.5,3.6,2.62,0-0,2-2
E0,25/08/2018,Huddersfield,Cardiff,0,0,D,0,0,D,2.3,3.1,3.3,0-0,0-0
E0,25/08/2018,Liverpool,Brighton,1,0,H,1,0,H,1.15,8,17,1-0,1-0
E0,25/08/2018,Southampton,Leicester,1,2,A,0,0,D,2.3,3.3,3.1,0-0,1-2
E0,25/08/2018,Wolves,Man City,1,1,D,0,0,D,10,6,1.25,0-0,1-1
E0,26/08/2018,Fulham,Burnley,4,2,H,3,2,H,2,3.25,3.9,3-2,4-2
E0,26/08/2018,Newcastle,Chelsea,1,2,A,0,0,D,5,3.75,1.67,0-0,1-2
E0,26/08/2018,Watford,Crystal Palace,2,1,H,0,0,D,2.5,3.3,2.8,0-0,2-1
E0,27/08/2018,Man United,Tottenham,0,3,A,0,0,D,2.5,3.4,2.7,0-0,0-3
E0,01/09/2018,Brighton,Fulham,2,2,D,0,1,A,2.25,3.3,3.2,0-1,2-2
E0,01/09/2018,Chelsea,Bournemouth,2,0,H,0,0,D,1.29,5.8,8.5,0-0,2-0
E0,01/09/2018,Crystal Palace,Southampton,0,2,A,0,0,D,1.95,3.4,4,0-0,0-2
E0,01/09/2018,Everton,Huddersfield,1,1,D,1,1,D,1.5,3.8,7.5,1-1,1-1
E0,01/09/2018,Leicester,Liverpool,1,2,A,0,2,A,7,4.75,1.4,0-2,1-2
E0,01/09/2018,Man City,Newcastle,2,1,H,1,1,D,1.08,10,26,1-1,2-1
E0,01/09/2018,West Ham,Wolves,0,1,A,0,0,D,2.4,3.5,2.8,0-0,0-1
E0,02/09/2018,Burnley,Man United,0,2,A,0,2,A,5.5,3.7,1.65,0-2,0-2
E0,02/09/2018,Cardiff,Arsenal,2,3,A,1,1,D,5.5,4.33,1.53,1-1,2-3
E0,02/09/2018,Watford,Tottenham,2,1,H,0,0,D,5,4.2,1.62,0-0,2-1
E0,15/09/2018,Bournemouth,Leicester,4,2,H,3,0,H,2.38,3.4,2.9,3-0,4-2
E0,15/09/2018,Chelsea,Cardiff,4,1,H,2,1,H,1.17,7,15,2-1,4-1
E0,15/09/2018,Huddersfield,Crystal Palace,0,1,A,0,1,A,3.1,3,2.45,0-1,0-1
E0,15/09/2018,Man City,Fulham,3,0,H,2,0,H,1.12,9,17,2-0,3-0
E0,15/09/2018,Newcastle,Arsenal,1,2,A,0,0,D,3.75,3.7,1.91,0-0,1-2
E0,15/09/2018,Tottenham,Liverpool,1,2,A,0,1,A,2.88,3.5,2.3,0-1,1-2
E0,15/09/2018,Watford,Man United,1,2,A,0,2,A,4,3.4,1.91,0-2,1-2
E0,16/09/2018,Everton,West Ham,1,3,A,1,2,A,2.05,3.6,3.4,1-2,1-3
E0,16/09/2018,Wolves,Burnley,1,0,H,0,0,D,1.75,3.5,4.8,0-0,1-0
E0,17/09/2018,Southampton,Brighton,2,2,D,1,0,H,2.05,3.2,3.75,1-0,2-2
E0,22/09/2018,Brighton,Tottenham,1,2,A,0,1,A,4.4,3.8,1.75,0-1,1-2
E0,22/09/2018,Burnley,Bournemouth,4,0,H,2,0,H,2.8,3.3,2.5,2-0,4-0
E0,22/09/2018,Cardiff,Man City,0,5,A,0,3,A,17,7.5,1.15,0-3,0-5
E0,22/09/2018,Crystal Palace,Newcastle,0,0,D,0,0,D,2.1,3.3,3.5,0-0,0-0
E0,22/09/2018,Fulham,Watford,1,1,D,0,1,A,2.5,3.4,2.75,0-1,1-1
E0,22/09/2018,Leicester,Huddersfield,3,1,H,1,1,D,1.6,3.75,6,1-1,3-1
E0,22/09/2018,Liverpool,Southampton,3,0,H,3,0,H,1.18,7,15,3-0,3-0
E0,22/09/2018,Man United,Wolves,1,1,D,1,0,H,1.57,4.2,5.5,1-0,1-1
E0,23/09/2018,Arsenal,Everton,2,0,H,0,0,D,1.47,4.75,6,0-0,2-0
E0,23/09/2018,West Ham,Chelsea,0,0,D,0,0,D,5,4.2,1.6,0-0,0-0
E0,29/09/2018,Arsenal,Watford,2,0,H,0,0,D,1.44,5,6,0-0,2-0
E0,29/09/2018,Chelsea,Liverpool,1,1,D,1,0,H,2.8,3.5,2.45,1-0,1-1
E0,29/09/2018,Everton,Fulham,3,0,H,0,0,D,1.75,4,4.33,0-0,3-0
E0,29/09/2018,Huddersfield,Tottenham,0,2,A,0,2,A,7,4.4,1.47,0-2,0-2
E0,29/09/2018,Man City,Brighton,2,0,H,1,0,H,1.07,12,29,1-0,2-0
E0,29/09/2018,Newcastle,Leicester,0,2,A,0,1,A,2.55,3.2,2.9,0-1,0-2
