Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,PSH,PSD,PSA,HTCS,CS
E0,11/08/2023,Burnley,Man City,0,3,A,0,2,A,8.58,5.51,1.37,11,8
E0,12/08/2023,Arsenal,Nottm Forest,2,1,H,2,0,H,1.18,7.86,15.67,12,12
E0,12/08/2023,Bournemouth,West Ham,1,1,D,0,0,D,2.7,3.47,2.71,9,14
E0,12/08/2023,Brighton,Luton,4,1,H,1,0,H,1.33,5.65,9.61,11,12
E0,12/08/2023,Everton,Fulham,0,1,A,0,0,D,2.27,3.45,3.35,12,6
E0,12/08/2023,Sheffield United,Crystal Palace,0,1,A,0,0,D,3.28,3.22,2.43,18,11
E0,12/08/2023,Newcastle,Aston Villa,5,1,H,2,1,H,1.77,3.92,4.77,12,17
E0,13/08/2023,Brentford,Tottenham,2,2,D,2,2,D,2.76,3.65,2.55,12,13
E0,13/08/2023,Chelsea,Liverpool,1,1,D,1,1,D,2.97,3.64,2.4,5,12
E0,14/08/2023,Man United,Wolves,1,0,H,0,0,D,1.32,5.79,9.66,14,10
E0,18/08/2023,Nottm Forest,Sheffield United,2,1,H,1,0,H,1.97,3.48,4.37,5,9
E0,19/08/2023,Fulham,Brentford,0,3,A,0,1,A,2.76,3.43,2.67,13,12
E0,19/08/2023,Liverpool,Bournemouth,3,1,H,2,1,H,1.23,7.14,11.46,11,13
E0,19/08/2023,Wolves,Brighton,1,4,A,0,1,A,4.12,3.92,1.88,14,11
E0,19/08/2023,Tottenham,Man United,2,0,H,0,0,D,2.85,3.82,2.41,9,8
E0,19/08/2023,Man City,Newcastle,1,0,H,1,0,H,1.73,4.1,4.8,12,11
E0,20/08/2023,Aston Villa,Everton,4,0,H,2,0,H,1.72,3.99,5.06,8,12
E0,20/08/2023,West Ham,Chelsea,3,1,H,1,1,D,3.68,3.57,2.1,12,9
E0,21/08/2023,Crystal Palace,Arsenal,0,1,A,0,0,D,5.73,4.12,1.63,14,10
E0,25/08/2023,Chelsea,Luton,3,0,H,1,0,H,1.3,6.08,10.68,15,12
E0,26/08/2023,Bournemouth,Tottenham,0,2,A,0,1,A,3.72,4.04,1.95,18,11
E0,26/08/2023,Arsenal,Fulham,2,2,D,0,1,A,1.24,6.07,15.25,6,5
E0,26/08/2023,Brentford,Crystal Palace,1,1,D,1,0,H,2.17,3.43,3.62,9,15
E0,26/08/2023,Everton,Wolves,0,1,A,0,0,D,2.34,3.32,3.34,10,14
E0,26/08/2023,Man United,Nottm Forest,3,2,H,1,2,A,1.32,5.98,9.11,13,11
E0,26/08/2023,Brighton,West Ham,1,3,A,0,1,A,1.54,4.74,5.81,10,9
E0,27/08/2023,Burnley,Aston Villa,1,3,A,0,2,A,3.39,3.65,2.18,12,11
E0,27/08/2023,Sheffield United,Man City,1,2,A,0,0,D,16.72,7.73,1.18,11,2
E0,27/08/2023,Newcastle,Liverpool,1,2,A,1,0,H,2.2,3.95,3.13,16,10
E0,01/09/2023,Luton,West Ham,1,2,A,0,1,A,4.82,4.04,1.75,8,13
