Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,PSH,PSD,PSA,HTCS,CS
E0,16/08/2024,Man United,Fulham,1,0,H,0,0,D,1.63,4.38,5.3,0-0,1-0
E0,17/08/2024,Ipswich,Liverpool,0,2,A,0,0,D,8.18,5.84,1.34,0-0,0-2
E0,17/08/2024,Arsenal,Wolves,2,0,H,1,0,H,1.16,8.56,16.22,1-0,2-0
E0,17/08/2024,Everton,Brighton,0,3,A,0,1,A,2.73,3.36,2.71,0-1,0-3
E0,17/08/2024,Newcastle,Southampton,1,0,H,1,0,H,1.35,5.7,8.25,1-0,1-0
E0,17/08/2024,Nottm Forest,Bournemouth,1,1,D,1,0,H,2.47,3.42,2.97,1-0,1-1
E0,17/08/2024,West Ham,Aston Villa,1,2,A,1,1,D,2.49,3.65,2.8,1-1,1-2
E0,18/08/2024,Brentford,Crystal Palace,2,1,H,1,0,H,2.5,3.4,2.95,1-0,2-1
E0,18/08/2024,Chelsea,Man City,0,2,A,0,1,A,4.19,3.93,1.84,0-1,0-2
E0,19/08/2024,Leicester,Tottenham,1,1,D,0,1,A,5.09,4.39,1.63,0-1,1-1
E0,24/08/2024,Brighton,Man United,2,1,H,1,0,H,2.51,3.66,2.76,1-0,2-1
E0,24/08/2024,Crystal Palace,West Ham,0,2,A,0,0,D,2.17,3.68,3.33,0-0,0-2
E0,24/08/2024,Fulham,Leicester,2,1,H,1,1,D,1.84,3.67,4.56,1-1,2-1
E0,24/08/2024,Man City,Ipswich,4,1,H,3,1,H,1.08,13.21,25.71,3-1,4-1
E0,24/08/2024,Southampton,Nottm Forest,0,1,A,0,0,D,2.59,3.28,2.92,0-0,0-1
E0,24/08/2024,Tottenham,Everton,4,0,H,2,0,H,1.45,4.87,7.03,2-0,4-0
E0,24/08/2024,Aston Villa,Arsenal,0,2,A,0,0,D,4.55,3.98,1.77,0-0,0-2
E0,25/08/2024,Bournemouth,Newcastle,1,1,D,1,0,H,3.05,3.73,2.28,1-0,1-1
E0,25/08/2024,Wolves,Chelsea,2,6,A,2,2,D,4.46,4.03,1.78,2-2,2-6
E0,25/08/2024,Liverpool,Brentford,2,0,H,1,0,H,1.25,7.05,10.11,1-0,2-0
E0,31/08/2024,Arsenal,Brighton,1,1,D,1,0,H,1.34,5.87,8.1,1-0,1-1
E0,31/08/2024,Brentford,Southampton,3,1,H,1,0,H,1.79,3.9,4.51,1-0,3-1
E0,31/08/2024,Everton,Bournemouth,2,3,A,0,0,D,2.82,3.38,2.62,0-0,2-3
E0,31/08/2024,Ipswich,Fulham,1,1,D,1,1,D,3.14,3.53,2.32,1-1,1-1
E0,31/08/2024,Leicester,Aston Villa,1,2,A,0,1,A,4.8,4.09,1.71,0-1,1-2
E0,31/08/2024,Nottm Forest,Wolves,1,1,D,1,1,D,2.02,3.7,3.71,1-1,1-1
E0,31/08/2024,West Ham,Man City,1,3,A,1,2,A,7.69,5.64,1.37,1-2,1-3
E0,01/09/2024,Chelsea,Crystal Palace,1,1,D,1,0,H,1.63,4.4,5.06,1-0,1-1
E0,01/09/2024,Newcastle,Tottenham,2,1,H,1,0,H,2.5,3.96,2.62,1-0,2-1
E0,01/09/2024,Man United,Liverpool,0,3,A,0,2,A,3.93,4.31,1.82,0-2,0-3
E1,09/08/2024,Blackburn,Derby,4,2,H,1,0,H,2.32,3.39,3.25,1-0,4-2
E1,09/08/2024,Preston,Sheffield United,0,2,A,0,1,A,3.25,3.44,2.3,0-1,0-2
E1,10/08/2024,Cardiff,Sunderland,0,2,A,0,1,A,2.94,3.15,2.62,0-1,0-2
E1,10/08/2024,Hull,Bristol City,1,1,D,0,0,D,2.71,3.3,2.73,0-0,1-1
E1,10/08/2024,Leeds,Portsmouth,3,3,D,1,2,A,1.38,5.14,7.88,1-2,3-3
E1,10/08/2024,Middlesbrough,Swansea,1,0,H,1,0,H,1.8,3.92,4.31,1-0,1-0
E1,10/08/2024,Millwall,Watford,2,3,A,0,1,A,2.39,3.19,3.27,0-1,2-3
E1,10/08/2024,Oxford,Norwich,2,0,H,1,0,H,3.2,3.52,2.26,1-0,2-0
E1,10/08/2024,QPR,West Brom,1,3,A,1,1,D,2.62,3.16,2.95,1-1,1-3
E1,10/08/2024,Stoke,Coventry,1,0,H,0,0,D,2.53,3.51,2.79,0-0,1-0
E1,11/08/2024,Sheffield Weds,Plymouth,4,0,H,1,0,H,1.83,3.59,4.39,1-0,4-0
E1,12/08/2024,Luton,Burnley,1,4,A,0,2,A,2.37,3.39,3.01,0-2,1-4
E1,16/08/2024,Coventry,Oxford,3,2,H,2,1,H,1.72,4.02,4.88,2-1,3-2
E1,17/08/2024,Derby,Middlesbrough,1,0,H,1,0,H,3.5,3.51,2.08,1-0,1-0
E1,17/08/2024,Portsmouth,Luton,0,0,D,0,0,D,3.03,3.62,2.25,0-0,0-0
E1,17/08/2024,West Brom,Leeds,0,0,D,0,0,D,3.34,3.52,2.14,0-0,0-0
E1,17/08/2024,Bristol City,Millwall,4,3,H,2,0,H,2.02,3.27,3.98,2-0,4-3
E1,17/08/2024,Burnley,Cardiff,5,0,H,2,0,H,1.46,4.53,6.66,2-0,5-0
E1,17/08/2024,Norwich,Blackburn,2,2,D,0,1,A,2.07,3.59,3.45,0-1,2-2
E1,17/08/2024,Plymouth,Hull,1,1,D,0,0,D,2.82,3.64,2.37,0-0,1-1
E1,17/08/2024,Sheffield United,QPR,2,2,D,2,0,H,1.77,3.78,4.46,2-0,2-2
E1,17/08/2024,Swansea,Preston,3,0,H,1,0,H,1.98,3.4,3.95,1-0,3-0
E1,17/08/2024,Watford,Stoke,3,0,H,0,0,D,2.7,3.21,2.72,0-0,3-0
E1,18/08/2024,Sunderland,Sheffield Weds,4,0,H,3,0,H,2.12,3.55,3.35,3-0,4-0
E1,23/08/2024,Sheffield Weds,Leeds,0,2,A,0,1,A,4.16,3.57,1.94,0-1,0-2
E1,24/08/2024,Bristol City,Coventry,1,1,D,1,0,H,2.54,3.38,2.87,1-0,1-1
E1,24/08/2024,Hull,Millwall,0,0,D,0,0,D,2.2,3.4,3.44,0-0,0-0
E1,24/08/2024,QPR,Plymouth,1,1,D,1,1,D,1.75,3.85,4.78,1-1,1-1
E1,24/08/2024,Blackburn,Oxford,2,1,H,1,1,D,1.8,3.81,4.24,1-1,2-1
E1,24/08/2024,Middlesbrough,Portsmouth,2,2,D,1,2,A,1.45,4.45,6.91,1-2,2-2
E1,24/08/2024,Norwich,Sheffield United,1,1,D,1,1,D,2.78,3.54,2.46,1-1,1-1
E1,24/08/2024,Preston,Luton,1,0,H,1,0,H,3.16,3.55,2.21,1-0,1-0
E1,24/08/2024,Stoke,West Brom,1,2,A,1,2,A,2.63,3.17,2.83,1-2,1-2
E1,24/08/2024,Sunderland,Burnley,1,0,H,1,0,H,3.06,3.43,2.32,1-0,1-0
E1,24/08/2024,Watford,Derby,2,1,H,1,1,D,1.87,3.7,4.06,1-1,2-1
E1,25/08/2024,Swansea,Cardiff,1,1,D,1,0,H,1.99,3.6,3.69,1-0,1-1
E1,30/08/2024,Luton,QPR,1,2,A,1,0,H,1.99,3.66,3.88,1-0,1-2
E1,31/08/2024,Burnley,Blackburn,1,1,D,1,1,D,1.94,3.71,3.89,1-1,1-1
E1,31/08/2024,Cardiff,Middlesbrough,0,2,A,0,0,D,3.87,3.83,1.92,0-0,0-2
E1,31/08/2024,Coventry,Norwich,0,1,A,0,0,D,1.91,3.81,3.94,0-0,0-1
E1,31/08/2024,Derby,Bristol City,3,0,H,1,0,H,3.06,3.28,2.46,1-0,3-0
E1,31/08/2024,Leeds,Hull,2,0,H,0,0,D,1.32,5.4,9.66,0-0,2-0
E1,31/08/2024,Millwall,Sheffield Weds,3,0,H,0,0,D,2.44,3.35,3.02,0-0,3-0
E1,31/08/2024,Oxford,Preston,3,1,H,1,1,D,2.49,3.43,2.89,1-1,3-1
E1,31/08/2024,Plymouth,Stoke,0,1,A,0,0,D,3.25,3.69,2.18,0-0,0-1
E1,31/08/2024,Portsmouth,Sunderland,1,3,A,0,1,A,3.45,3.54,2.14,0-1,1-3
E1,31/08/2024,West Brom,Swansea,1,0,H,1,0,H,1.86,3.7,4.27,1-0,1-0
E1,01/09/2024,Sheffield United,Watford,1,0,H,1,0,H,1.76,3.97,4.28,1-0,1-0
E2,09/08/2024,Barnsley,Mansfield,1,2,A,1,2,A,2.09,3.62,3.5,1-2,1-2
E2,10/08/2024,Birmingham,Reading,1,1,D,0,1,A,1.53,4.25,5.69,0-1,1-1
E2,10/08/2024,Bristol Rvs,Northampton,1,0,H,0,0,D,1.9,3.5,4.08,0-0,1-0
E2,10/08/2024,Burton,Lincoln,2,3,A,2,2,D,3.13,3.27,2.33,2-2,2-3
E2,10/08/2024,Crawley Town,Blackpool,2,1,H,2,0,H,3.71,3.46,2.01,2-0,2-1
E2,10/08/2024,Exeter,Rotherham,1,0,H,0,0,D,3.11,3.42,2.27,0-0,1-0
E2,10/08/2024,Leyton Orient,Bolton,1,2,A,1,1,D,3.5,3.51,2.06,1-1,1-2
E2,10/08/2024,Peterboro,Huddersfield,0,2,A,0,2,A,2.15,3.66,3.16,0-2,0-2
E2,10/08/2024,Stevenage,Shrewsbury,1,0,H,0,0,D,1.8,3.47,4.65,0-0,1-0
E2,10/08/2024,Stockport,Cambridge,2,0,H,1,0,H,1.64,3.95,5.07,1-0,2-0
E2,10/08/2024,Wigan,Charlton,0,1,A,0,0,D,2.61,3.31,2.71,0-0,0-1
E2,10/08/2024,Wrexham,Wycombe,3,2,H,2,0,H,2.02,3.6,3.51,2-0,3-2
E2,17/08/2024,Charlton,Leyton Orient,1,0,H,0,0,D,2.08,3.42,3.54,0-0,1-0
E2,17/08/2024,Shrewsbury,Peterboro,1,4,A,1,1,D,3.76,3.47,1.99,1-1,1-4
E2,17/08/2024,Blackpool,Stockport,0,3,A,0,0,D,2.08,3.51,3.45,0-0,0-3
E2,17/08/2024,Cambridge,Crawley Town,0,1,A,0,0,D,2.16,3.45,3.29,0-0,0-1
E2,17/08/2024,Huddersfield,Stevenage,2,1,H,1,0,H,1.75,3.64,4.67,1-0,2-1
E2,17/08/2024,Lincoln,Barnsley,1,2,A,0,1,A,2.22,3.55,3.1,0-1,1-2
E2,17/08/2024,Mansfield,Burton,3,3,D,2,1,H,1.82,3.8,4.07,2-1,3-3
E2,17/08/2024,Northampton,Exeter,2,1,H,0,1,A,2.55,3.27,2.81,0-1,2-1
E2,17/08/2024,Reading,Wigan,2,0,H,1,0,H,2.15,3.55,3.24,1-0,2-0
E2,17/08/2024,Rotherham,Bristol Rvs,0,0,D,0,0,D,2.02,3.55,3.58,0-0,0-0
E2,17/08/2024,Wycombe,Birmingham,2,3,A,1,1,D,3.64,3.5,2.01,1-1,2-3
E2,18/08/2024,Bolton,Wrexham,0,0,D,0,0,D,1.83,3.81,4.04,0-0,0-0
E2,24/08/2024,Burton,Stevenage,0,0,D,0,0,D,2.86,3.51,2.44,0-0,0-0
E2,24/08/2024,Stockport,Bristol Rvs,2,0,H,1,0,H,1.72,3.97,4.65,1-0,2-0
E2,24/08/2024,Barnsley,Northampton,2,2,D,1,0,H,1.67,4.08,4.65,1-0,2-2
E2,24/08/2024,Cambridge,Blackpool,4,4,D,1,3,A,3.89,3.41,1.97,1-3,4-4
E2,24/08/2024,Charlton,Bolton,2,0,H,1,0,H,3.05,3.27,2.37,1-0,2-0
