Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,PSH,PSD,PSA,HTCS,CS
E0,15/08/2025,Liverpool,Bournemouth,4,2,H,1,0,H,1.3,6,8.5,1-0,4-2
E0,16/08/2025,Aston Villa,Newcastle,0,0,D,0,0,D,2.3,3.5,3,0-0,0-0
E0,16/08/2025,Brighton,Fulham,1,1,D,0,0,D,1.91,3.6,3.9,0-0,1-1
E0,16/08/2025,Sunderland,West Ham,3,0,H,0,0,D,3.2,3.3,2.3,0-0,3-0
E0,16/08/2025,Tottenham,Burnley,3,0,H,1,0,H,1.33,4.6,8,1-0,3-0
E0,16/08/2025,Wolves,Man City,0,4,A,0,2,A,7,4.5,1.44,0-2,0-4
E0,17/08/2025,Chelsea,Crystal Palace,0,0,D,0,0,D,1.6,4.1,5,0-0,0-0
E0,17/08/2025,Nottm Forest,Brentford,3,1,H,3,0,H,2.15,3.2,3.4,3-0,3-1
E0,17/08/2025,Man United,Arsenal,0,1,A,0,1,A,3.6,3.5,1.95,0-1,0-1
E0,18/08/2025,Leeds,Everton,1,0,H,0,0,D,2.38,3.25,2.9,0-0,1-0
E0,22/08/2025,West Ham,Chelsea,1,5,A,1,3,A,4.6,4,1.7,1-3,1-5
E0,23/08/2025,Man City,Tottenham,0,2,A,0,2,A,1.45,4.8,6.5,0-2,0-2
E0,23/08/2025,Bournemouth,Wolves,1,0,H,1,0,H,1.75,3.9,4.33,1-0,1-0
E0,23/08/2025,Brentford,Aston Villa,1,0,H,1,0,H,3.1,3.6,2.2,1-0,1-0
E0,23/08/2025,Burnley,Sunderland,2,0,H,0,0,D,2.2,3.1,3.6,0-0,2-0
E0,23/08/2025,Arsenal,Leeds,5,0,H,2,0,H,1.25,6,11.5,2-0,5-0
E0,24/08/2025,Crystal Palace,Nottm Forest,1,1,D,1,0,H,2.3,3.25,3,1-0,1-1
E0,24/08/2025,Everton,Brighton,2,0,H,1,0,H,3.1,3.3,2.25,1-0,2-0
E0,24/08/2025,Fulham,Man United,1,1,D,0,0,D,3.2,3.5,2.1,0-0,1-1
E0,25/08/2025,Newcastle,Liverpool,2,3,A,0,1,A,3.2,3.8,2,0-1,2-3
E0,30/08/2025,Chelsea,Fulham,2,0,H,1,0,H,1.55,4.2,5.75,1-0,2-0
