Arsenal,8,10,7,19,19,38,61,16,2020/2021
"Aston Villa",7,9,7,19,19,38,55,9,2020/2021
Brighton,4,5,14,19,19,38,41,-6,2020/2021
Burnley,4,6,9,19,19,38,39,-22,2020/2021
Chelsea,9,10,10,19,19,38,67,22,2020/2021
"Crystal Palace",6,6,8,19,19,38,44,-25,2020/2021
Everton,6,11,8,19,19,38,59,-1,2020/2021
Fulham,2,3,13,19,19,38,28,-26,2020/2021
Leeds,8,10,5,19,19,38,59,8,2020/2021
Leicester,9,11,6,19,19,38,66,18,2020/2021
Liverpool,10,10,9,19,19,38,69,26,2020/2021
"Man City",13,14,5,19,19,38,86,51,2020/2021
"Man United",9,12,11,19,19,38,74,29,2020/2021
Newcastle,6,6,9,19,19,38,45,-16,2020/2021
"Sheffield United",5,2,2,19,19,38,23,-43,2020/2021
Southampton,8,4,7,19,19,38,43,-21,2020/2021
Tottenham,10,8,8,19,19,38,62,23,2020/2021
"West Brom",3,2,11,19,19,38,26,-41,2020/2021
"West Ham",10,9,8,19,19,38,65,15,2020/2021
Wolves,7,5,9,19,19,38,45,-16,2020/2021
Barnsley,12,11,9,23,23,46,78,8,2020/2021
Birmingham,6,7,13,23,23,46,52,-24,2020/2021
Blackburn,9,6,12,23,23,46,57,11,2020/2021
Bournemouth,13,9,11,23,23,46,77,27,2020/2021
Brentford,12,12,15,23,23,46,87,37,2020/2021
"Bristol City",7,8,6,23,23,46,51,-22,2020/2021
Cardiff,8,10,14,23,23,46,68,17,2020/2021
Coventry,10,4,13,23,23,46,55,-12,2020/2021
Derby,6,5,11,23,23,46,44,-22,2020/2021
Huddersfield,8,4,13,23,23,46,49,-21,2020/2021
Luton,8,9,11,23,23,46,62,-11,2020/2021
Middlesbrough,11,7,10,23,23,46,64,2,2020/2021
Millwall,7,8,17,23,23,46,62,-5,2020/2021
Norwich,14,15,10,23,23,46,97,39,2020/2021
"Nottm Forest",6,6,16,23,23,46,52,-8,2020/2021
Preston,7,11,7,23,23,46,61,-7,2020/2021
QPR,11,8,11,23,23,46,68,2,2020/2021
Reading,12,7,13,23,23,46,70,8,2020/2021
Rotherham,5,6,9,23,23,46,42,-16,2020/2021
"Sheffield Weds",8,4,11,23,23,46,47,-21,2020/2021
Stoke,9,6,15,23,23,46,60,-2,2020/2021
Swansea,12,11,11,23,23,46,80,17,2020/2021
