Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,PSH,PSD,PSA,HTCS,CS
E0,12/09/2020,Fulham,Arsenal,0,3,A,0,1,A,6.16,4.51,1.56,0-1,0-3
E0,12/09/2020,Crystal Palace,Southampton,1,0,H,1,0,H,3.32,3.29,2.4,1-0,1-0
E0,12/09/2020,Liverpool,Leeds,4,3,H,3,2,H,1.31,6.25,9.92,3-2,4-3
E0,12/09/2020,West Ham,Newcastle,0,2,A,0,0,D,2.18,3.61,3.5,0-0,0-2
E0,13/09/2020,West Brom,Leicester,0,3,A,0,0,D,4,3.59,2,0-0,0-3
E0,13/09/2020,Tottenham,Everton,0,1,A,0,0,D,1.94,3.57,4.3,0-0,0-1
E0,14/09/2020,Brighton,Chelsea,1,3,A,0,1,A,5.36,4.34,1.65,0-1,1-3
E0,14/09/2020,Sheffield United,Wolves,0,2,A,0,2,A,3.41,3.03,2.46,0-2,0-2
E0,19/09/2020,Everton,West Brom,5,2,H,2,1,H,1.55,4.33,6.46,2-1,5-2
E0,19/09/2020,Leeds,Fulham,4,3,H,2,1,H,1.65,4.05,5.61,2-1,4-3
E0,19/09/2020,Man United,Crystal Palace,1,3,A,0,1,A,1.3,5.88,9.8,0-1,1-3
E0,19/09/2020,Arsenal,West Ham,2,1,H,1,1,D,1.54,4.58,6.09,1-1,2-1
E0,20/09/2020,Southampton,Tottenham,2,5,A,1,1,D,3.12,3.39,2.41,1-1,2-5
E0,20/09/2020,Newcastle,Brighton,0,3,A,0,2,A,2.66,3.22,2.91,0-2,0-3
E0,20/09/2020,Chelsea,Liverpool,0,2,A,0,0,D,3.2,3.85,2.19,0-0,0-2
E0,20/09/2020,Leicester,Burnley,4,2,H,1,1,D,1.63,4.13,5.79,1-1,4-2
E0,21/09/2020,Aston Villa,Sheffield United,1,0,H,0,0,D,2.77,3.22,2.78,0-0,1-0
E0,21/09/2020,Wolves,Man City,1,3,A,0,2,A,6.27,4.35,1.56,0-2,1-3
E1,11/09/2020,Watford,Middlesbrough,1,0,H,1,0,H,1.99,3.46,4.12,1-0,1-0
E1,12/09/2020,Birmingham,Brentford,1,0,H,1,0,H,4.7,3.58,1.84,1-0,1-0
E1,12/09/2020,Wycombe,Rotherham,0,1,A,0,0,D,2.84,3.33,2.58,0-0,0-1
E1,12/09/2020,Barnsley,Luton,0,1,A,0,0,D,2.08,3.47,3.78,0-0,0-1
E1,12/09/2020,Bournemouth,Blackburn,3,2,H,1,1,D,2.06,3.49,3.81,1-1,3-2
E1,12/09/2020,Bristol City,Coventry,2,1,H,1,1,D,2.19,3.38,3.49,1-1,2-1
E1,12/09/2020,Cardiff,Sheffield Weds,0,2,A,0,2,A,2.15,3.29,3.79,0-2,0-2
E1,12/09/2020,Derby,Reading,0,2,A,0,2,A,2.06,3.51,3.79,0-2,0-2
E1,12/09/2020,Huddersfield,Norwich,0,1,A,0,0,D,3.56,3.44,2.16,0-0,0-1
E1,12/09/2020,Millwall,Stoke,0,0,D,0,0,D,2.67,3.11,2.97,0-0,0-0
E1,12/09/2020,Preston,Swansea,0,1,A,0,0,D,2.38,3.22,3.24,0-0,0-1
E1,12/09/2020,QPR,Nottm Forest,2,0,H,0,0,D,3.12,3.28,2.45,0-0,2-0
E1,18/09/2020,Coventry,QPR,3,2,H,1,1,D,2.49,3.33,3.08,1-1,3-2
