division,HomeTeam,avg_HCO,home_coas,home_cods
SP1,Sevilla,5.45714285714286,1.18,1.19
SP1,Mallorca,5.45714285714286,0.73,0.86
SP1,"Ath Madrid",5.45714285714286,1.22,0.97
SP1,Sociedad,5.45714285714286,1.02,1.4
SP1,Elche,5.45714285714286,0.94,1.15
SP1,Girona,5.45714285714286,0.73,1.01
SP1,Vallecano,5.45714285714286,1.31,0.83
SP1,"Real Madrid",5.45714285714286,1.13,0.54
SP1,Villarreal,5.45714285714286,1.28,0.91
SP2,Levante,5.0959595959596,0.87,0.88
SP2,Eibar,5.0959595959596,1.31,0.69
SP2,Mirandes,5.0959595959596,0.88,1.01
SP2,Leganes,5.0959595959596,0.83,1.04
SP2,"Las Palmas",5.0959595959596,1.44,0.69
SP2,Santander,5.0959595959596,1.24,0.96
SP2,Ibiza,5.0959595959596,0.94,0.93
SP2,Burgos,5.0959595959596,0.72,1.54
SP2,Oviedo,5.0959595959596,0.92,1.04
SP2,Lugo,5.0959595959596,0.65,2.18
SP2,Cartagena,5.0959595959596,1.13,0.85
SP2,"Villarreal B",5.0959595959596,0.85,1.09
SP2,Alaves,5.0959595959596,0.94,0.75
SP2,"Sp Gijon",5.0959595959596,0.68,1.04
SP2,Albacete,5.0959595959596,0.96,0.88
SP2,Zaragoza,5.0959595959596,1.55,0.91
SP2,Granada,5.0959595959596,1.22,0.67
SP2,Huesca,5.0959595959596,0.65,1.38
SP2,Tenerife,5.0959595959596,1.31,0.83
SP2,Ponferradina,5.0959595959596,0.83,0.91
SP2,Malaga,5.0959595959596,0.76,1.02
SP2,Andorra,5.0959595959596,1.31,0.72
D1,"Ein Frankfurt",5.16296296296296,1.04,1.08
D1,Augsburg,5.16296296296296,0.92,1.08
D1,Bochum,5.16296296296296,1.02,1.1
D1,Mgladbach,5.16296296296296,0.87,1.05
D1,"Union Berlin",5.16296296296296,0.89,1.29
D1,Wolfsburg,5.16296296296296,1.3,1.1
D1,Dortmund,5.16296296296296,1.11,0.91
D1,Stuttgart,5.16296296296296,0.94,1.02
D1,"FC Koln",5.16296296296296,1.25,1.13
D1,Freiburg,5.16296296296296,1.0,0.76
D1,Hertha,5.16296296296296,0.87,1.27
D1,Hoffenheim,5.16296296296296,1.14,0.77
D1,Leverkusen,5.16296296296296,0.92,0.74
D1,"RB Leipzig",5.16296296296296,1.08,0.95
D1,"Werder Bremen",5.16296296296296,0.58,1.08
D1,"Schalke 04",5.16296296296296,0.82,1.24
D1,Mainz,5.16296296296296,0.94,0.72
D1,"Bayern Munich",5.16296296296296,1.44,0.66
D2,Kaiserslautern,5.81045751633987,0.99,1.0
D2,"Greuther Furth",5.81045751633987,1.24,0.71
D2,Regensburg,5.81045751633987,0.92,1.05
D2,Sandhausen,5.81045751633987,0.93,1.06
D2,"St Pauli",5.81045751633987,1.01,0.95
D2,Magdeburg,5.81045751633987,0.84,1.09
