division,AwayTeam,avg_ACO,away_coas,away_cods
F2,"Pau FC",4.06666666666667,0.95,1.07
F2,Grenoble,4.06666666666667,0.88,0.91
F2,Amiens,4.06666666666667,1.37,1.35
F2,Caen,4.06666666666667,1.02,0.85
F2,Rodez,4.06666666666667,1.11,1.07
F2,"Paris FC",4.06666666666667,1.11,1.04
F2,Nimes,4.06666666666667,0.65,1.26
F2,Annecy,4.06666666666667,0.74,0.74
F2,Sochaux,4.06666666666667,1.05,1.1
F2,Guingamp,4.06666666666667,1.09,0.88
F2,Bastia,4.06666666666667,0.95,1.1
F2,"Quevilly Rouen",4.06666666666667,1.08,1.04
F2,Dijon,4.06666666666667,0.91,1.22
F2,Bordeaux,4.06666666666667,1.19,1.04
F2,"Le Havre",4.06666666666667,1.41,0.74
F2,Metz,4.06666666666667,1.02,0.88
I1,Udinese,4.42,0.88,1.17
I1,Atalanta,4.42,0.84,1.04
I1,Inter,4.42,1.13,0.81
I1,Torino,4.42,0.74,1.01
I1,Cremonese,4.42,1.3,0.99
I1,Bologna,4.42,0.71,0.92
I1,Roma,4.42,0.88,0.83
I1,Empoli,4.42,0.94,1.1
I1,Napoli,4.42,1.0,1.01
I1,Sassuolo,4.42,0.96,0.83
I1,Lazio,4.42,1.1,1.16
I1,Salernitana,4.42,0.88,0.94
I1,Spezia,4.42,1.33,1.09
I1,Lecce,4.42,0.76,1.38
I1,Fiorentina,4.42,1.5,0.7
I1,Monza,4.42,1.0,0.98
I1,Milan,4.42,1.07,0.86
I1,Verona,4.42,1.26,1.07
I1,Juventus,4.42,0.94,1.25
I1,Sampdoria,4.42,0.74,0.89
I2,Bari,4.54,0.63,1.25
I2,Pisa,4.54,0.74,1.28
I2,Cagliari,4.54,1.16,0.87
I2,Perugia,4.54,0.99,0.92
I2,Ternana,4.54,1.1,0.87
I2,Cosenza,4.54,1.02,1.05
I2,Sudtirol,4.54,0.94,1.34
I2,Frosinone,4.54,1.4,0.74
I2,Reggina,4.54,1.1,0.92
I2,Genoa,4.54,1.27,0.69
I2,Palermo,4.54,0.76,0.87
I2,Spal,4.54,1.16,1.11
I2,Benevento,4.54,1.23,0.93
I2,Parma,4.54,1.35,0.73
I2,Cittadella,4.54,0.8,1.02
I2,Modena,4.54,0.69,1.15
I2,Brescia,4.54,0.88,0.9
I2,Como,4.54,0.82,1.46
I2,Venezia,4.54,0.98,0.85
I2,Ascoli,4.54,1.01,1.08
P1,Arouca,4.88034188034188,0.58,1.1
P1,Vizela,4.88034188034188,0.82,1.42
P1,Famalicao,4.88034188034188,0.97,0.87
P1,Maritimo,4.88034188034188,1.11,0.82
P1,"Casa Pia",4.88034188034188,0.55,1.36
P1,"Sp Lisbon",4.88034188034188,1.29,0.55
P1,Guimaraes,4.88034188034188,0.96,1.19
P1,Boavista,4.88034188034188,0.61,0.73
P1,"Pacos Ferreira",4.88034188034188,1.09,1.1
P1,"Sp Braga",4.88034188034188,1.38,0.92
P1,Benfica,4.88034188034188,1.47,0.67
P1,"Rio Ave",4.88034188034188,0.94,1.09
P1,"Santa Clara",4.88034188034188,1.06,0.87
P1,Porto,4.88034188034188,1.38,0.6
P1,Estoril,4.88034188034188,1.14,1.32
P1,Chaves,4.88034188034188,0.64,1.54
P1,"Gil Vicente",4.88034188034188,0.85,0.96
P1,Portimonense,4.88034188034188,1.06,0.87
N1,"Sparta Rotterdam",4.92063492063492,0.95,1.0
N1,Ajax,4.92063492063492,1.16,0.56
N1,Excelsior,4.92063492063492,0.64,1.06
N1,"FC Emmen",4.92063492063492,0.84,0.9
N1,Utrecht,4.92063492063492,1.19,0.84
N1,Volendam,4.92063492063492,1.13,1.23
N1,Twente,4.92063492063492,1.45,1.04
N1,Feyenoord,4.92063492063492,1.36,0.95
N1,"Go Ahead Eagles",4.92063492063492,0.85,0.97
N1,Vitesse,4.92063492063492,1.54,0.79
N1,"PSV Eindhoven",4.92063492063492,1.34,0.77
N1,Waalwijk,4.92063492063492,0.93,1.25
N1,Cambuur,4.92063492063492,0.61,1.51
N1,Heerenveen,4.92063492063492,0.67,1.07
N1,Nijmegen,4.92063492063492,0.93,0.81
N1,Groningen,4.92063492063492,0.75,1.14
N1,"For Sittard",4.92063492063492,0.78,1.41
N1,"AZ Alkmaar",4.92063492063492,0.91,0.73
B1,Gent,4.58278145695364,1.33,0.71
B1,Eupen,4.58278145695364,0.87,1.14
B1,"Oud-Heverlee Leuven",4.58278145695364,0.9,1.28
B1,Seraing,4.58278145695364,0.61,1.32
B1,"St. Gilloise",4.58278145695364,1.07,0.89
B1,Genk,4.58278145695364,1.17,0.95
B1,Antwerp,4.58278145695364,0.95,0.67
B1,Oostende,4.58278145695364,1.09,1.03
B1,"Cercle Brugge",4.58278145695364,0.87,0.91
B1,Charleroi,4.58278145695364,0.95,1.0
B1,Anderlecht,4.58278145695364,1.0,0.91
B1,Mechelen,4.58278145695364,1.09,1.17
B1,Westerlo,4.58278145695364,0.92,1.13
B1,"St Truiden",4.58278145695364,0.95,0.85
B1,Standard,4.58278145695364,1.01,0.98
