Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,PSH,PSD,PSA,HTCS,CS
E0,11/08/17,Arsenal,Leicester,4,3,H,2,2,D,1.53,4.55,6.85,2-2,4-3
E0,12/08/17,Brighton,Man City,0,2,A,0,0,D,10.95,5.55,1.34,0-0,0-2
E0,12/08/17,Chelsea,Burnley,2,3,A,0,3,A,1.26,6.3,15.25,0-3,2-3
E0,12/08/17,Crystal Palace,Huddersfield,0,3,A,0,2,A,1.83,3.58,5.11,0-2,0-3
E0,12/08/17,Everton,Stoke,1,0,H,1,0,H,1.7,3.83,5.81,1-0,1-0
E0,12/08/17,Southampton,Swansea,0,0,D,0,0,D,1.64,3.94,6.35,0-0,0-0
E0,12/08/17,Watford,Liverpool,3,3,D,2,1,H,5.74,4.29,1.63,2-1,3-3
E0,12/08/17,West Brom,Bournemouth,1,0,H,1,0,H,2.46,3.25,3.26,1-0,1-0
E0,13/08/17,Man United,West Ham,4,0,H,1,0,H,1.33,5.68,10.85,1-0,4-0
E0,13/08/17,Newcastle,Tottenham,0,2,A,0,0,D,5.35,4,1.71,0-0,0-2
E0,19/08/17,Bournemouth,Watford,0,2,A,0,0,D,1.98,3.63,4.16,0-0,0-2
E0,19/08/17,Burnley,West Brom,0,1,A,0,0,D,2.64,3.17,3.07,0-0,0-1
E0,19/08/17,Leicester,Brighton,2,0,H,1,0,H,1.74,3.85,5.43,1-0,2-0
E0,19/08/17,Liverpool,Crystal Palace,1,0,H,0,0,D,1.39,5.24,9.27,0-0,1-0
E0,19/08/17,Southampton,West Ham,3,2,H,2,1,H,1.71,3.96,5.43,2-1,3-2
E0,19/08/17,Stoke,Arsenal,1,0,H,0,0,D,4.39,3.85,1.88,0-0,1-0
E0,19/08/17,Swansea,Man United,0,4,A,0,1,A,12.01,5.33,1.33,0-1,0-4
E0,20/08/17,Huddersfield,Newcastle,1,0,H,0,0,D,2.51,3.31,3.13,0-0,1-0
E0,20/08/17,Tottenham,Chelsea,1,2,A,0,1,A,2.08,3.58,3.85,0-1,1-2
E0,21/08/17,Man City,Everton,1,1,D,0,1,A,1.31,5.88,11.27,0-1,1-1
E0,26/08/17,Bournemouth,Man City,1,2,A,1,1,D,11.14,5.79,1.32,1-1,1-2
E0,26/08/17,Crystal Palace,Swansea,0,2,A,0,1,A,1.99,3.43,4.41,0-1,0-2
E0,26/08/17,Huddersfield,Southampton,0,0,D,0,0,D,4.01,3.45,2.08,0-0,0-0
E0,26/08/17,Man United,Leicester,2,0,H,0,0,D,1.33,5.56,11.31,0-0,2-0
