Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,PSH,PSD,PSA,HTCS,CS,HS,HST,AS,AST,HY,AY,HR,AR
E0,13/08/2021,Brentford,Arsenal,2,0,H,1,0,H,4.05,3.46,2.05,1-0,2-0,8,3,22,4,0,0,0,0
E0,14/08/2021,Man United,Leeds,5,1,H,1,0,H,1.56,4.57,5.96,1-0,5-1,16,8,10,3,1,2,0,0
E0,14/08/2021,Burnley,Brighton,1,2,A,1,0,H,3.3,3.12,2.51,1-0,1-2,14,3,14,8,2,1,0,0
E0,14/08/2021,Chelsea,Crystal Palace,3,0,H,2,0,H,1.26,6.24,12.74,2-0,3-0,13,6,4,1,0,0,0,0
E0,14/08/2021,Everton,Southampton,3,1,H,0,1,A,2.01,3.56,4.1,0-1,3-1,14,6,6,3,2,0,0,0
E0,14/08/2021,Leicester,Wolves,1,0,H,1,0,H,1.73,3.79,5.47,1-0,1-0,9,5,17,3,1,2,0,0
E0,14/08/2021,Watford,Aston Villa,3,2,H,2,0,H,3.18,3.31,2.47,2-0,3-2,13,7,11,2,3,1,0,0
E0,14/08/2021,Norwich,Liverpool,0,3,A,0,1,A,8.35,5.86,1.36,0-1,0-3,14,3,19,8,1,1,0,0
E0,15/08/2021,Newcastle,West Ham,2,4,A,2,1,H,3.21,3.59,2.32,2-1,2-4,17,3,8,9,1,0,0,0
E0,15/08/2021,Tottenham,Man City,1,0,H,0,0,D,5.56,4.09,1.67,0-0,1-0,13,3,18,4,2,1,0,0
E1,06/08/2021,Bournemouth,West Brom,2,2,D,1,1,D,2.37,3.36,3.24,1-1,2-2,7,4,15,5,1,3,0,0
E1,07/08/2021,Blackburn,Swansea,2,1,H,1,0,H,2.18,3.38,3.65,1-0,2-1,21,10,7,4,4,2,0,0
E1,07/08/2021,Bristol City,Blackpool,1,1,D,1,0,H,2.27,3.39,3.35,1-0,1-1,11,2,7,1,2,0,0,0
E1,07/08/2021,Cardiff,Barnsley,1,1,D,0,0,D,2.3,3.26,3.48,0-0,1-1,10,6,10,3,0,0,0,0
E1,07/08/2021,Derby,Huddersfield,1,1,D,1,1,D,4.71,3.81,1.76,1-1,1-1,11,3,17,6,3,2,0,0
E1,07/08/2021,Luton,Peterboro,3,0,H,1,0,H,2.26,3.6,3.25,1-0,3-0,12,6,4,1,1,5,0,0
E1,07/08/2021,Preston,Hull,1,4,A,1,1,D,2.41,3.32,3.21,1-1,1-4,7,4,16,5,2,2,0,0
E1,07/08/2021,QPR,Millwall,1,1,D,1,1,D,2.12,3.43,3.76,1-1,1-1,11,4,10,3,0,3,0,0
E1,07/08/2021,Stoke,Reading,3,2,H,2,1,H,2.1,3.36,3.94,2-1,3-2,18,6,11,5,0,2,0,0
E1,07/08/2021,Sheffield United,Birmingham,0,1,A,0,1,A,1.83,3.5,4.91,0-1,0-1,16,2,9,2,1,6,0,0
E1,08/08/2021,Fulham,Middlesbrough,1,1,D,1,0,H,1.92,3.59,4.27,1-0,1-1,16,3,7,1,2,3,0,0
E1,08/08/2021,Coventry,Nottm Forest,2,1,H,0,1,A,2.54,3.13,3.12,0-1,2-1,12,6,10,2,4,1,0,0
E1,14/08/2021,Peterboro,Derby,2,1,H,0,0,D,2.23,3.35,3.48,0-0,2-1,13,4,7,2,4,2,0,0
E1,14/08/2021,Barnsley,Coventry,1,0,H,1,0,H,2.08,3.29,4.03,1-0,1-0,8,1,12,2,8,2,0,0
E1,14/08/2021,Birmingham,Stoke,0,0,D,0,0,D,2.85,3.08,2.8,0-0,0-0,9,2,8,2,1,2,0,0
